,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
6,154.0,43.0,21.0,21.0,32.0,17.0,3.0,35.0,24.0,12.0,27.0,11.0,10.0,25.0,21.0,9.0,24.0,29.0,5.0,24.0,96.0,13.0,13.0,1.0,3.0,1.0,,3.0,
1,839.0,421.0,271.0,317.0,566.0,198.0,25.0,269.0,70.0,205.0,502.0,240.0,247.0,248.0,306.0,96.0,133.0,270.0,192.0,144.0,744.0,159.0,124.0,13.0,80.0,34.0,2.0,16.0,8.0
7,478.0,91.0,41.0,59.0,114.0,23.0,31.0,173.0,27.0,21.0,61.0,28.0,89.0,57.0,148.0,16.0,112.0,233.0,123.0,58.0,412.0,85.0,19.0,10.0,4.0,5.0,1.0,4.0,29.0
22,253.0,81.0,82.0,62.0,173.0,27.0,11.0,94.0,17.0,42.0,154.0,63.0,67.0,93.0,89.0,22.0,40.0,71.0,37.0,49.0,168.0,24.0,22.0,2.0,19.0,9.0,,2.0,1.0
66,38.0,13.0,5.0,2.0,6.0,2.0,3.0,15.0,1.0,,6.0,3.0,5.0,1.0,7.0,,6.0,11.0,6.0,6.0,16.0,1.0,,,2.0,1.0,,,
188,88.0,24.0,15.0,10.0,16.0,7.0,3.0,14.0,10.0,6.0,9.0,4.0,5.0,14.0,18.0,8.0,14.0,17.0,2.0,15.0,53.0,4.0,8.0,,2.0,,,1.0,
3,202.0,48.0,26.0,43.0,37.0,16.0,5.0,44.0,14.0,7.0,27.0,7.0,19.0,13.0,67.0,3.0,31.0,53.0,35.0,14.0,141.0,50.0,16.0,1.0,2.0,,2.0,10.0,11.0
128,230.0,64.0,39.0,40.0,47.0,14.0,9.0,52.0,44.0,7.0,61.0,25.0,55.0,75.0,99.0,12.0,38.0,66.0,33.0,59.0,203.0,10.0,34.0,2.0,4.0,3.0,,4.0,
159,20.0,5.0,5.0,1.0,,,,5.0,,,,1.0,5.0,1.0,4.0,,4.0,2.0,6.0,2.0,9.0,,,,,,,,
168,158.0,54.0,23.0,59.0,57.0,27.0,1.0,42.0,29.0,41.0,65.0,34.0,86.0,40.0,76.0,16.0,18.0,62.0,56.0,27.0,108.0,32.0,25.0,4.0,7.0,3.0,,5.0,
124,18.0,5.0,4.0,5.0,4.0,,,7.0,,,2.0,,7.0,6.0,7.0,,,3.0,5.0,4.0,8.0,3.0,1.0,1.0,1.0,1.0,,,
8,331.0,154.0,95.0,60.0,150.0,56.0,17.0,109.0,26.0,49.0,141.0,78.0,73.0,72.0,101.0,24.0,51.0,109.0,81.0,39.0,198.0,40.0,29.0,6.0,12.0,6.0,,7.0,10.0
72,66.0,21.0,9.0,8.0,17.0,4.0,,17.0,5.0,4.0,17.0,5.0,12.0,11.0,41.0,1.0,12.0,27.0,27.0,10.0,56.0,5.0,3.0,,,,,2.0,4.0
82,276.0,221.0,97.0,25.0,156.0,52.0,9.0,82.0,27.0,65.0,41.0,9.0,45.0,28.0,56.0,45.0,42.0,68.0,42.0,48.0,279.0,43.0,54.0,4.0,4.0,,,11.0,12.0
5,195.0,120.0,71.0,26.0,101.0,24.0,3.0,47.0,18.0,41.0,66.0,27.0,30.0,12.0,19.0,21.0,25.0,21.0,11.0,26.0,133.0,20.0,26.0,1.0,18.0,13.0,3.0,10.0,2.0
158,70.0,12.0,5.0,7.0,2.0,6.0,2.0,6.0,11.0,1.0,6.0,2.0,5.0,4.0,13.0,2.0,14.0,13.0,4.0,10.0,33.0,3.0,6.0,,,,,1.0,
192,65.0,25.0,10.0,4.0,10.0,9.0,2.0,10.0,9.0,7.0,7.0,7.0,6.0,3.0,11.0,4.0,10.0,6.0,3.0,11.0,32.0,1.0,6.0,1.0,,,,1.0,
20,7.0,6.0,4.0,2.0,7.0,2.0,,3.0,1.0,2.0,6.0,1.0,5.0,5.0,5.0,1.0,2.0,1.0,,1.0,8.0,,1.0,1.0,1.0,,,,
2,203.0,23.0,14.0,25.0,45.0,15.0,11.0,106.0,1.0,2.0,33.0,28.0,55.0,15.0,57.0,1.0,70.0,168.0,102.0,5.0,243.0,55.0,4.0,9.0,,,,6.0,20.0
126,462.0,43.0,4.0,86.0,6.0,47.0,9.0,97.0,30.0,18.0,106.0,51.0,94.0,81.0,195.0,2.0,87.0,200.0,141.0,88.0,581.0,108.0,83.0,7.0,,,,6.0,6.0
146,8.0,,,,2.0,,,3.0,,,1.0,,2.0,,2.0,,,2.0,3.0,1.0,1.0,,,,,,,,
30,130.0,42.0,22.0,47.0,45.0,44.0,7.0,32.0,18.0,28.0,51.0,41.0,24.0,27.0,44.0,7.0,11.0,38.0,29.0,17.0,83.0,80.0,25.0,3.0,,,,3.0,3.0
167,39.0,22.0,3.0,29.0,4.0,3.0,2.0,21.0,1.0,11.0,8.0,2.0,18.0,12.0,17.0,1.0,4.0,19.0,30.0,1.0,4.0,24.0,1.0,4.0,,,,8.0,
78,287.0,176.0,72.0,162.0,136.0,73.0,6.0,105.0,23.0,52.0,146.0,100.0,127.0,57.0,169.0,24.0,30.0,196.0,146.0,23.0,253.0,110.0,31.0,9.0,8.0,6.0,,2.0,15.0
4,213.0,78.0,57.0,39.0,77.0,38.0,10.0,74.0,11.0,21.0,55.0,36.0,17.0,18.0,52.0,11.0,17.0,89.0,51.0,13.0,115.0,38.0,13.0,1.0,1.0,3.0,1.0,8.0,20.0
13,243.0,224.0,115.0,101.0,281.0,88.0,10.0,94.0,8.0,112.0,150.0,93.0,42.0,63.0,54.0,50.0,33.0,79.0,50.0,7.0,93.0,76.0,15.0,2.0,13.0,10.0,4.0,20.0,17.0
142,2.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,
40,54.0,17.0,5.0,12.0,5.0,5.0,1.0,7.0,4.0,,8.0,2.0,6.0,5.0,13.0,,6.0,13.0,11.0,,30.0,9.0,4.0,,,,,5.0,2.0
106,251.0,131.0,38.0,68.0,97.0,51.0,5.0,72.0,11.0,34.0,71.0,59.0,29.0,19.0,77.0,18.0,25.0,126.0,86.0,4.0,167.0,68.0,15.0,1.0,,1.0,1.0,10.0,12.0
25,152.0,54.0,22.0,8.0,10.0,61.0,3.0,45.0,6.0,5.0,16.0,23.0,8.0,3.0,38.0,3.0,15.0,61.0,38.0,2.0,43.0,34.0,1.0,,1.0,3.0,1.0,5.0,5.0
148,16.0,10.0,2.0,,2.0,,3.0,12.0,2.0,,5.0,1.0,2.0,3.0,3.0,1.0,6.0,,1.0,3.0,5.0,,,,,,,,
9,334.0,174.0,117.0,111.0,226.0,94.0,4.0,133.0,14.0,102.0,204.0,98.0,50.0,82.0,59.0,46.0,59.0,75.0,45.0,30.0,195.0,35.0,21.0,3.0,41.0,18.0,1.0,7.0,1.0
67,10.0,,,,,1.0,5.0,6.0,,,,,,,,,,1.0,,,1.0,,,,,,,,
17,338.0,332.0,201.0,224.0,400.0,139.0,9.0,155.0,21.0,151.0,307.0,158.0,104.0,87.0,83.0,80.0,39.0,102.0,82.0,20.0,159.0,80.0,20.0,7.0,73.0,29.0,2.0,15.0,2.0
83,61.0,16.0,6.0,11.0,13.0,8.0,6.0,28.0,3.0,6.0,22.0,7.0,16.0,14.0,30.0,2.0,13.0,24.0,21.0,8.0,50.0,7.0,7.0,3.0,,,,4.0,
129,163.0,107.0,51.0,77.0,98.0,30.0,1.0,43.0,18.0,27.0,74.0,38.0,48.0,20.0,45.0,7.0,22.0,67.0,54.0,12.0,88.0,57.0,29.0,,12.0,9.0,,4.0,
15,136.0,51.0,27.0,31.0,31.0,37.0,2.0,38.0,5.0,19.0,38.0,25.0,27.0,22.0,61.0,17.0,15.0,73.0,48.0,7.0,68.0,43.0,10.0,1.0,3.0,3.0,1.0,5.0,
121,5.0,2.0,1.0,5.0,7.0,,1.0,,,2.0,2.0,1.0,6.0,4.0,8.0,2.0,,6.0,4.0,3.0,13.0,4.0,,,,,,,
191,16.0,3.0,3.0,5.0,2.0,,1.0,6.0,1.0,,,,1.0,8.0,2.0,2.0,4.0,10.0,,3.0,18.0,2.0,2.0,,,,,,
49,21.0,22.0,11.0,5.0,11.0,1.0,,13.0,3.0,7.0,13.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,,1.0,18.0,5.0,5.0,,6.0,5.0,1.0,1.0,
173,16.0,7.0,4.0,5.0,4.0,,,8.0,1.0,1.0,1.0,,4.0,5.0,6.0,1.0,2.0,8.0,7.0,1.0,8.0,1.0,,,,,,1.0,
202,7.0,2.0,3.0,3.0,2.0,3.0,,4.0,,1.0,2.0,,5.0,1.0,2.0,,,2.0,3.0,3.0,8.0,5.0,1.0,,,,,,
131,213.0,258.0,202.0,162.0,313.0,86.0,4.0,103.0,10.0,110.0,231.0,113.0,124.0,52.0,71.0,68.0,28.0,62.0,75.0,15.0,103.0,45.0,15.0,12.0,71.0,25.0,1.0,5.0,2.0
50,300.0,160.0,30.0,114.0,107.0,95.0,7.0,79.0,9.0,34.0,94.0,85.0,90.0,28.0,140.0,16.0,31.0,207.0,152.0,12.0,221.0,119.0,21.0,2.0,,2.0,,8.0,11.0
166,10.0,11.0,3.0,9.0,14.0,5.0,,1.0,,1.0,7.0,6.0,27.0,7.0,21.0,,,13.0,12.0,2.0,10.0,3.0,,,,,,,
68,2.0,,,1.0,,,,,,,1.0,1.0,15.0,10.0,17.0,,,1.0,9.0,2.0,8.0,1.0,,2.0,,,,,
143,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
120,19.0,6.0,,3.0,5.0,2.0,,7.0,,1.0,8.0,3.0,4.0,4.0,3.0,,1.0,6.0,4.0,1.0,15.0,3.0,,,,,,,
223,20.0,21.0,6.0,4.0,20.0,3.0,,5.0,1.0,9.0,18.0,7.0,6.0,13.0,21.0,,2.0,6.0,4.0,8.0,19.0,2.0,2.0,,1.0,,,,
21,113.0,160.0,105.0,134.0,235.0,77.0,3.0,33.0,18.0,87.0,144.0,102.0,47.0,63.0,31.0,41.0,6.0,30.0,29.0,11.0,65.0,46.0,26.0,4.0,10.0,2.0,,7.0,3.0
87,8.0,3.0,2.0,,7.0,,4.0,24.0,,,,,8.0,2.0,8.0,,3.0,7.0,12.0,,20.0,,,,,1.0,,,7.0
207,5.0,2.0,,,3.0,,,,,1.0,,,5.0,1.0,3.0,,,1.0,,5.0,4.0,1.0,1.0,,,,,,
216,2.0,4.0,,,2.0,,1.0,5.0,,,,,,,,,5.0,3.0,1.0,,11.0,1.0,,,,,,,
132,34.0,7.0,,1.0,,,6.0,11.0,1.0,,1.0,,11.0,,16.0,,7.0,7.0,10.0,4.0,27.0,,4.0,1.0,,,,,
200,18.0,3.0,1.0,16.0,2.0,,,4.0,1.0,,7.0,,11.0,7.0,10.0,,,14.0,15.0,2.0,18.0,9.0,3.0,1.0,2.0,1.0,,,
165,13.0,4.0,4.0,12.0,7.0,2.0,,2.0,1.0,,7.0,1.0,12.0,1.0,5.0,2.0,1.0,,6.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,,,
53,10.0,5.0,5.0,3.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,,,,,
48,167.0,88.0,27.0,24.0,42.0,16.0,4.0,72.0,13.0,23.0,61.0,17.0,47.0,14.0,65.0,10.0,44.0,58.0,40.0,37.0,214.0,13.0,26.0,3.0,48.0,19.0,2.0,3.0,3.0
39,52.0,34.0,15.0,7.0,23.0,5.0,2.0,24.0,4.0,12.0,23.0,8.0,16.0,16.0,34.0,4.0,22.0,17.0,12.0,15.0,78.0,5.0,6.0,2.0,18.0,5.0,2.0,,
133,105.0,74.0,25.0,56.0,114.0,42.0,5.0,42.0,6.0,60.0,72.0,36.0,19.0,12.0,14.0,20.0,22.0,45.0,27.0,3.0,49.0,24.0,7.0,3.0,5.0,3.0,,14.0,
19,56.0,18.0,12.0,10.0,12.0,2.0,1.0,20.0,5.0,,13.0,5.0,5.0,15.0,19.0,1.0,9.0,12.0,9.0,11.0,35.0,3.0,3.0,,2.0,,,,1.0
137,8.0,3.0,,4.0,,,,1.0,2.0,,1.0,,5.0,,3.0,,,3.0,2.0,,,,,,,,,,
134,12.0,3.0,2.0,6.0,1.0,,1.0,7.0,2.0,,6.0,4.0,5.0,4.0,9.0,,,12.0,10.0,,6.0,,,,,,,,
141,3.0,1.0,,1.0,1.0,2.0,,2.0,,1.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,5.0,1.0,,,,,,
151,8.0,9.0,6.0,5.0,11.0,,2.0,1.0,2.0,3.0,7.0,4.0,2.0,4.0,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,2.0,,2.0,,,,
32,10.0,16.0,7.0,2.0,16.0,2.0,,2.0,1.0,3.0,9.0,1.0,3.0,1.0,2.0,1.0,1.0,,,2.0,16.0,1.0,3.0,,3.0,2.0,1.0,2.0,1.0
57,654.0,197.0,87.0,157.0,119.0,112.0,12.0,228.0,23.0,39.0,163.0,85.0,168.0,79.0,255.0,28.0,139.0,381.0,283.0,32.0,609.0,161.0,35.0,15.0,39.0,15.0,3.0,23.0,52.0
102,39.0,1.0,,1.0,,1.0,2.0,3.0,1.0,1.0,10.0,2.0,13.0,6.0,17.0,,6.0,11.0,11.0,6.0,41.0,2.0,6.0,1.0,,,,,
55,44.0,4.0,1.0,16.0,23.0,10.0,4.0,22.0,,2.0,12.0,8.0,14.0,5.0,19.0,,11.0,34.0,17.0,3.0,34.0,43.0,2.0,3.0,,,,2.0,1.0
153,1.0,,,,,,,,,,,,1.0,,2.0,,,1.0,,4.0,,,,,,,,,
161,5.0,,,,1.0,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,
215,7.0,4.0,5.0,,3.0,,,,,,1.0,,,1.0,2.0,,2.0,1.0,,3.0,3.0,,1.0,,,,,,
